Sender,Content,ContentCategories,MyPhysicalReaction,TextReactionofReciever,Day,TimeSent,Song
Isabel,one tree hill,TV Shows,Laughter,HAHA,2/8/21,3:41 AM,
Isabel,Sebastian stan,Actors,Laughter,HAHA,2/8/21,3:46 AM,
Isabel,Dylan O'Brien,Actors,Laughter,HAHA,2/8/21,3:46 AM,
Isabel,Obama,Political,Laughter,HAHA,2/8/21,3:48 AM,
Ayashe,Disney,Movies,Laughter,HAHA,2/8/21,10:32 AM,
Ayashe,One Direction,Music,Laughter,HAHA,2/8/21,10:35 AM,
Ayashe,Avengers,Movies,Laughter,HAHA,2/8/21,10:35 AM,
Ayashe,One Direction,Music,Laughter,NA,2/8/21,10:38 AM,
Ayashe,Sebastian stan,Actors,Smile,Heart,2/8/21,10:52 AM,
Ayashe,College,Miscellaneous,Laughter,HAHA,2/8/21,11:24 AM,
Isabel,Sebastian stan,Actors,Laughter,HAHA,2/8/21,11:48 AM,
Isabel,Avengers,Actors,Laughter,HAHA,2/8/21,11:48 AM,
Isabel,TVD,TV Shows,Laughter,HAHA,2/8/21,11:52 AM,
Isabel,Gilmore Girls,TV Shows,Laughter,NA,2/8/21,11:54 AM,
Isabel,TVD,TV Shows,Laughter,HAHA,2/8/21,12:31 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/8/21,12:35 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/8/21,12:39 PM,
Ayashe,Armie Hammer,Actors,Laughter,HAHA,2/8/21,12:46 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/8/21,3:30 PM,
Ayashe,tom Holland,Actors,Laughter,HAHA,2/8/21,4:05 PM,
Ayashe,chris Evans,Actors,Laughter,HAHA,2/8/21,6:29 PM,
Ayashe,riverdale,TV Shows,Laughter,HAHA,2/8/21,6:31 PM,
Ayashe,gossip girl,Actors,Laughter,HAHA,2/8/21,6:35 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/8/21,9:05 PM,
Ayashe,Olivia/Sabrina/Josh Drama,Music,Anger,Thumbs Down,2/8/21,9:28 PM,
Isabel,jojo siwa,Actors,Smile,Heart,2/8/21,10:24 PM,
Isabel,tom Holland,Actors,Laughter,Heart,2/8/21,10:27 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/8/21,10:28 PM,
Isabel,Sebastian stan,Actors,Laughter,Heart,2/8/21,10:31 PM,
Isabel,obx,TV Shows,Smile,Heart,2/8/21,10:36 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/8/21,10:56 PM,
Isabel,tvd,Actors,Laughter,HAHA,2/8/21,11:18 PM,
Isabel,trisha Paytas,Actors,Laughter,HAHA,2/8/21,11:19 PM,
Isabel,avengers,Actors,Laughter,HAHA,2/9/21,12:20 AM,
Isabel,tom holland,Actors,Laughter,HAHA,2/9/21,2:10 AM,
Ayashe,harry styles,Music,Laughter,HAHA,2/9/21,10:04 AM,
Ayashe,secret life of american teenager,TV Shows,Laughter,HAHA,2/9/21,10:12 AM,
Ayashe,disney,Miscellaneous,Laughter,HAHA,2/9/21,12:30 PM,
Isabel,riverdale,TV Shows,Laughter,NA,2/9/21,3:35 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/9/21,3:46 PM,
Isabel,Avengers,Movies,Smile,Heart,2/9/21,4:18 PM,
Isabel,Racist Granny,Miscellaneous,Anger,Thumbs Up,2/9/21,4:18 PM,
Isabel,TVD,Actors,Anger,HAHA,2/9/21,4:20 PM,
Isabel,TVD,Actors,Anger,NA,2/9/21,4:23 PM,
Isabel,tom holland,Actors,Laughter,HAHA,2/9/21,4:26 PM,
Isabel,tom holland,Actors,Laughter,NA,2/9/21,4:29 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/9/21,4:33 PM,
Ayashe,Avengers,Movies,Laughter,HAHA,2/9/21,5:02 PM,
Ayashe,trisha Paytas,Actors,Laughter,HAHA,2/9/21,5:02 PM,
Ayashe,harry styles,Actors,Laughter,HAHA,2/9/21,5:03 PM,
Ayashe,maze runner,Movies,Laughter,Emphasized,2/9/21,5:04 PM,
Ayashe,harry potter,Movies,Laughter,HAHA,2/9/21,5:04 PM,
Ayashe,harry styles,Music,Laughter,HAHA,2/9/21,5:06 PM,
Ayashe,chuck bass,Actors,Sadness,NA,2/9/21,5:19 PM,
Isabel,tom holland,Actors,Laughter,HAHA,2/9/21,8:27 PM,
Isabel,tom holland,Actors,Smile,Heart,2/9/21,8:30 PM,
Ayashe,chris hemsworth,Actors,Laughter,HAHA,2/9/21,8:46 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/9/21,9:34 PM,
Ayashe,tom holland,Actors,Laughter,HAHA,2/9/21,9:55 PM,
Isabel,tom holland,Actors,Laughter,HAHA,2/10/21,1:16 AM,
Isabel,Olivia/Sabrina/Josh Drama,Music,Laughter,HAHA,2/10/21,1:23 AM,
Isabel,harry styles,Music,Laughter,HAHA,2/10/21,1:59 AM,
